[Mon Sep 26 21:07:23.451748 2022] [ssl:warn] [pid 10964:tid 760] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Mon Sep 26 21:07:24.012472 2022] [ssl:warn] [pid 10964:tid 760] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Mon Sep 26 21:07:24.532333 2022] [mpm_winnt:notice] [pid 10964:tid 760] AH00455: Apache/2.4.23 (Win32) OpenSSL/1.0.2h PHP/5.6.24 configured -- resuming normal operations
[Mon Sep 26 21:07:24.532333 2022] [mpm_winnt:notice] [pid 10964:tid 760] AH00456: Apache Lounge VC11 Server built: Jul  7 2016 11:13:22
[Mon Sep 26 21:07:24.532333 2022] [core:notice] [pid 10964:tid 760] AH00094: Command line: 'd:\\xampp\\apache\\bin\\httpd.exe -d D:/xampp/apache'
[Mon Sep 26 21:07:24.557295 2022] [mpm_winnt:notice] [pid 10964:tid 760] AH00418: Parent: Created child process 13420
[Mon Sep 26 21:07:25.544951 2022] [ssl:warn] [pid 13420:tid 704] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Mon Sep 26 21:07:25.785538 2022] [ssl:warn] [pid 13420:tid 704] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Mon Sep 26 21:07:25.836159 2022] [mpm_winnt:notice] [pid 13420:tid 704] AH00354: Child: Starting 150 worker threads.
[Mon Sep 26 21:20:18.810519 2022] [:error] [pid 13420:tid 2024] [client 127.0.0.1:53237] script 'D:/xampp/htdocs/register.php' not found or unable to stat
[Mon Sep 26 21:28:17.500285 2022] [:error] [pid 13420:tid 2024] [client 127.0.0.1:53277] PHP Notice:  Undefined variable: db in D:\\xampp\\htdocs\\index.php on line 92
[Mon Sep 26 21:28:17.500285 2022] [:error] [pid 13420:tid 2024] [client 127.0.0.1:53277] PHP Warning:  mysqli_close() expects parameter 1 to be mysqli, null given in D:\\xampp\\htdocs\\index.php on line 92
[Mon Sep 26 21:41:32.275999 2022] [:error] [pid 13420:tid 2020] [client 127.0.0.1:53340] PHP Warning:  mysqli_connect(): (HY000/1045): Access denied for user 'eden_exercise'@'localhost' (using password: YES) in D:\\xampp\\htdocs\\index.php on line 31
[Mon Sep 26 21:41:32.278156 2022] [:error] [pid 13420:tid 2020] [client 127.0.0.1:53340] PHP Warning:  mysqli_close() expects parameter 1 to be mysqli, boolean given in D:\\xampp\\htdocs\\index.php on line 105
[Mon Sep 26 21:46:13.174401 2022] [:error] [pid 13420:tid 2020] [client 127.0.0.1:53410] PHP Warning:  mysqli_connect(): (HY000/1045): Access denied for user 'eden_exercise'@'localhost' (using password: YES) in D:\\xampp\\htdocs\\index.php on line 31
[Mon Sep 26 21:46:13.174401 2022] [:error] [pid 13420:tid 2020] [client 127.0.0.1:53410] PHP Warning:  mysqli_close() expects parameter 1 to be mysqli, boolean given in D:\\xampp\\htdocs\\index.php on line 105
[Mon Sep 26 21:46:27.675384 2022] [:error] [pid 13420:tid 2020] [client 127.0.0.1:53417] PHP Warning:  mysqli_connect(): (HY000/1045): Access denied for user 'eden_exercise'@'localhost' (using password: YES) in D:\\xampp\\htdocs\\index.php on line 31
[Mon Sep 26 21:46:27.676029 2022] [:error] [pid 13420:tid 2020] [client 127.0.0.1:53417] PHP Warning:  mysqli_close() expects parameter 1 to be mysqli, boolean given in D:\\xampp\\htdocs\\index.php on line 105
[Mon Sep 26 21:54:46.919552 2022] [:error] [pid 13420:tid 2004] [client 127.0.0.1:53511] PHP Warning:  mysqli_connect(): (HY000/1045): Access denied for user 'eden_exercise'@'localhost' (using password: YES) in D:\\xampp\\htdocs\\index.php on line 31
[Mon Sep 26 21:54:46.920552 2022] [:error] [pid 13420:tid 2004] [client 127.0.0.1:53511] PHP Warning:  mysqli_close() expects parameter 1 to be mysqli, boolean given in D:\\xampp\\htdocs\\index.php on line 105
[Tue Sep 27 00:25:34.961358 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55022] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:25:34.961358 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55022] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:26:14.509419 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55027] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:26:14.509419 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55027] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:26:14.509419 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55027] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in D:\\xampp\\htdocs\\include_session.php on line 23
[Tue Sep 27 00:28:22.848096 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55052] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:28:22.848096 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55052] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:28:22.848096 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55052] PHP Notice:  Array to string conversion in D:\\xampp\\htdocs\\include_session.php on line 24
[Tue Sep 27 00:31:34.369973 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55073] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:31:34.369973 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55073] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:32:42.533467 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55084] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:32:42.533467 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55084] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:33:09.879194 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55088] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:33:09.879194 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55088] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:33:09.879194 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55088] PHP Notice:  Array to string conversion in D:\\xampp\\htdocs\\include_session.php on line 27
[Tue Sep 27 00:33:52.007644 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55093] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:33:52.007644 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55093] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
[Tue Sep 27 00:34:57.429029 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55101] PHP Notice:  Undefined index: session_user in D:\\xampp\\htdocs\\include_session.php on line 17
[Tue Sep 27 00:34:57.429029 2022] [:error] [pid 13420:tid 2016] [client 127.0.0.1:55101] PHP Notice:  Undefined index: session_token in D:\\xampp\\htdocs\\include_session.php on line 18
