03:29:36  [main] 	Initializing Control Panel
03:29:36  [main] 	Windows Version:  Home  64-bit
03:29:36  [main] 	XAMPP Version: 7.4.29
03:29:36  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
03:29:36  [main] 	You are not running with administrator rights! This will work for
03:29:36  [main] 	most application stuff but whenever you do something with services
03:29:36  [main] 	there will be a security dialogue or things will break! So think 
03:29:36  [main] 	about running this application with administrator rights!
03:29:36  [main] 	XAMPP Installation Directory: "c:\xampp\"
03:29:36  [main] 	Checking for prerequisites
03:29:39  [main] 	All prerequisites found
03:29:39  [main] 	Initializing Modules
03:29:39  [main] 	The FileZilla module is disabled
03:29:39  [main] 	The Mercury module is disabled
03:29:39  [main] 	Starting Check-Timer
03:29:39  [main] 	Control Panel Ready
03:51:42  [mysql] 	Attempting to start MySQL app...
03:51:43  [mysql] 	Status change detected: running
03:52:12  [Apache] 	Attempting to start Apache app...
03:52:12  [Apache] 	Status change detected: running
04:35:53  [main] 	Executing "c:\xampp\apache"
17:15:09  [Apache] 	Attempting to stop Apache (PID: 5392)
17:15:09  [Apache] 	Attempting to stop Apache (PID: 416)
17:15:09  [Apache] 	Status change detected: stopped
17:15:17  [mysql] 	Attempting to stop MySQL app...
17:15:17  [mysql] 	Status change detected: stopped
17:22:27  [main] 	Deinitializing Modules
17:22:27  [main] 	Deinitializing Control Panel

